"","Wynik_funkcji_fitness","Indeks_wyniku","Czas","Szansa_na_mutacje","Populacja","Elityzm"
"707",89,22,8.14300000000003,0.8,130,0
"786",89,14,8.15300000000025,0.9,130,1
"429",90,7,8.1550000000002,0.45,140,0
"151",91,24,8.18399999999997,0.1,150,0
"747",89,20,8.1840000000002,0.85,130,0
"190",91,13,8.221,0.15,150,1
"508",90,11,8.25200000000041,0.55,140,1
"787",90,24,8.25500000000011,0.9,130,0
"469",90,6,8.28099999999995,0.5,140,0
"191",91,5,8.29799999999977,0.15,150,0
"509",90,46,8.3159999999998,0.55,140,0
"230",91,20,8.31899999999996,0.2,150,1
"74",90,6,8.35300000000007,0,170,1
"548",91,34,8.36399999999958,0.6,140,1
"33",90,3,8.36599999999999,0,170,1
"867",90,78,8.36599999999999,1,130,0
"827",89,2,8.37100000000009,0.95,130,0
"866",89,33,8.3739999999998,1,130,1
"270",91,29,8.38099999999986,0.25,150,1
"588",90,14,8.40499999999975,0.65,140,1
"549",90,56,8.41399999999976,0.6,140,0
"310",91,23,8.43100000000004,0.3,150,1
"34",90,8,8.43999999999983,0,170,0
"826",90,69,8.46600000000035,0.95,130,1
"589",90,8,8.47299999999996,0.65,140,0
"628",90,6,8.47800000000007,0.7,140,1
"311",91,24,8.49400000000014,0.3,150,0
"75",90,5,8.49900000000002,0,170,0
"112",91,15,8.52600000000007,0.05,160,1
"271",91,38,8.53699999999981,0.25,150,0
"350",91,26,8.55100000000039,0.35,150,1
"231",91,25,8.58799999999974,0.2,150,0
"629",90,19,8.60499999999956,0.7,140,0
"668",90,30,8.60899999999947,0.75,140,1
"390",91,44,8.62400000000025,0.4,150,1
"113",91,10,8.63800000000015,0.05,160,0
"351",91,11,8.64300000000003,0.35,150,0
"152",91,16,8.65300000000002,0.1,160,1
"669",90,3,8.67799999999988,0.75,140,0
"391",91,36,8.68200000000024,0.4,150,0
"430",91,51,8.70299999999997,0.45,150,1
"709",90,2,8.72699999999986,0.8,140,0
"748",89,14,8.72699999999986,0.85,140,1
"192",91,11,8.74400000000014,0.15,160,1
"153",91,15,8.75299999999993,0.1,160,0
"193",91,11,8.779,0.15,160,0
"431",91,85,8.79500000000007,0.45,150,0
"470",90,33,8.80400000000009,0.5,150,1
"708",90,34,8.80799999999999,0.8,140,1
"510",90,29,8.83800000000065,0.55,150,1
"76",91,8,8.84500000000003,0,180,1
"35",91,5,8.85300000000007,0,180,1
"749",90,83,8.85400000000027,0.85,140,0
"788",90,18,8.87800000000061,0.9,140,1
"471",91,26,8.90099999999984,0.5,150,0
"789",90,87,8.92399999999998,0.9,140,0
"550",90,10,8.93000000000029,0.6,150,1
"828",89,41,8.93299999999999,0.95,140,1
"77",91,6,8.9340000000002,0,180,0
"36",90,5,8.95400000000018,0,180,0
"511",90,7,8.95400000000063,0.55,150,0
"233",91,5,8.98199999999997,0.2,160,0
"272",91,14,9.00500000000011,0.25,160,1
"312",91,22,9.00700000000006,0.3,160,1
"868",90,33,9.01400000000012,1,140,1
"551",90,24,9.02700000000004,0.6,150,0
"590",90,23,9.04700000000048,0.65,150,1
"829",90,75,9.05500000000029,0.95,140,0
"232",91,13,9.06800000000021,0.2,160,1
"273",91,15,9.09199999999964,0.25,160,0
"313",91,23,9.09699999999975,0.3,160,0
